Approach,Accuracy,Balanced Accuracy,Specificity Macro,F1 Macro,F1 Weighted,MCC,Kappa,ROC-AUC OvR Macro,Mild Demented_Precision,Mild Demented_Recall,Mild Demented_Specificity,Mild Demented_F1,Mild Demented_Support,Moderate Demented_Precision,Moderate Demented_Recall,Moderate Demented_Specificity,Moderate Demented_F1,Moderate Demented_Support,Non Demented_Precision,Non Demented_Recall,Non Demented_Specificity,Non Demented_F1,Non Demented_Support,Very Mild Demented_Precision,Very Mild Demented_Recall,Very Mild Demented_Specificity,Very Mild Demented_F1,Very Mild Demented_Support
1. Baseline,0.53125,0.2752083470223624,0.7698807375464336,0.22442551246899073,0.4172679812965139,0.14058328734716527,0.0848290757429061,0.7315194700682279,0.0,0.0,1.0,0.0,145,0.0,0.0,1.0,0.0,10,0.530982905982906,0.9688109161793372,0.14090019569471623,0.6859903381642513,513,0.5340909090909091,0.13202247191011235,0.938622754491018,0.21171171171171171,356
2. Weighted Loss,0.5009765625,0.25,0.75,0.16688353936239428,0.3344189675504229,0.0,0.0,0.5,0.0,0.0,1.0,0.0,145,0.0,0.0,1.0,0.0,10,0.5009765625,1.0,0.0,0.6675341574495771,513,0.0,0.0,1.0,0.0,356
3. Balanced Sampling,0.48828125,0.3189220710953414,0.7672066631682963,0.19717912472544272,0.36004162570809684,0.10016315064910336,0.06463477984987465,0.5988036256253636,0.0,0.0,1.0,0.0,145,0.03225806451612903,0.3,0.9112426035502958,0.05825242718446602,10,0.538546255506608,0.9532163742690059,0.18003913894324852,0.6882477128782547,513,0.34782608695652173,0.02247191011235955,0.9775449101796407,0.04221635883905013,356
4. MONAI Augmentation,0.5986328125,0.35031320498499685,0.8313495318560531,0.3204181020456254,0.558268076482321,0.3189295018615324,0.30460759594063624,0.8025883075278624,0.0,0.0,1.0,0.0,145,0.0,0.0,1.0,0.0,10,0.7430278884462151,0.7270955165692008,0.7475538160469667,0.734975369458128,513,0.45977011494252873,0.6741573033707865,0.5778443113772455,0.5466970387243736,356
5. Combined Strategy,0.34765625,0.5134153428903526,0.7566635742187697,0.2687359178224745,0.2091942396352525,0.07581866979449621,0.035244372169512594,0.6502009830399847,0.46511627906976744,0.13793103448275862,0.9738339021615472,0.2127659574468085,145,0.21739130434782608,1.0,0.9644970414201184,0.35714285714285715,10,0.0,0.0,1.0,0.0,513,0.34866310160427805,0.9157303370786517,0.08832335329341318,0.5050348567002324,356
